emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0,2,1,-1,0,0,10,-2
-4,-2,5,-9,-3,-2,-6,-1
0,-2,-25,2,-3,1,-21,-1
2,0,13,8,4,10,17,3
-1,1,-2,-2,2,-33,-7,2
-1,-1,0,0,2,39,20,-1
-2,-2,2,-2,5,12,32,5
3,7,2,0,-5,-24,-32,0
-7,0,-4,0,-2,18,-13,-1
0,0,2,2,8,-12,-13,2
-2,-3,1,-4,-2,4,7,-6
0,1,-5,1,-2,-9,-10,-6
6,6,10,3,-4,21,-5,7
-2,-4,-9,0,11,18,41,5
-4,-4,-6,-8,-9,-20,-11,-6
-1,-3,0,3,0,3,-1,2
2,2,14,18,3,2,-8,-6
-3,1,-2,-7,-5,-14,-19,-6
3,2,11,6,2,-9,4,5
0,-5,-14,-10,1,1,4,2
-3,-7,-9,-4,-2,-4,-24,-4
1,3,3,11,-3,-13,25,1
2,5,10,-2,2,30,-16,2
-3,-1,-4,-5,-3,-26,18,1
-3,-5,-7,-2,-6,-3,-32,-10
2,2,6,3,0,4,-3,4
4,0,-12,1,2,-11,-4,-1
-3,0,7,-1,-3,22,14,0
-9,-4,-1,0,6,-7,13,1
3,-2,-3,-1,-3,10,-10,1
-2,-2,0,-2,-2,8,12,-1
1,-1,0,0,0,3,-31,-2
4,5,4,3,4,-4,-18,3
-3,-4,-5,-4,-4,-2,42,1
-3,-1,1,-3,-4,-17,-16,0
1,-1,-6,-11,0,7,-6,-2
2,0,6,6,-6,16,17,6
-3,3,15,5,4,-5,-19,-5
1,-1,-16,8,-4,7,-9,-1
3,3,11,-7,0,-24,0,3
2,4,-4,2,-3,-28,-7,-1
-4,-7,-4,-10,-3,8,62,5
-1,1,7,2,3,14,-21,-5
-3,-3,-3,2,-2,0,-34,-13
3,-3,-3,-3,4,5,36,4
2,4,1,5,4,21,8,3
-3,-4,5,-2,2,17,4,-2
-1,-2,-7,0,-4,-8,22,3
-2,-1,4,-1,-3,-2,-5,-1
2,4,-2,5,1,-16,-10,-4
2,2,1,-5,2,5,1,5
-4,2,-1,1,-4,-8,5,-3
-1,-1,-3,4,4,37,14,-1
